,PREDDEG,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_MEN
2709,3.0,2.0,243.0,0.5679,0.1728,0.0082,0.0288,0.0,0.0041,0.0288,0.0165,0.1728,0.5103
2710,4.0,2.0,,,,,,,,,,,
2711,3.0,2.0,1366.0,0.4407,0.2745,0.1852,0.0271,0.0022,0.0,0.0542,0.0051,0.011,0.4488
2712,1.0,3.0,733.0,0.146,0.7367,0.0477,0.0136,0.0068,0.0,0.03,0.0,0.0191,0.513
2713,2.0,1.0,10617.0,0.6135,0.1455,0.0357,0.0392,0.0027,0.0008,0.0409,0.0001,0.1217,0.4593
2714,3.0,2.0,1538.0,0.6801,0.0871,0.0878,0.0358,0.0033,0.0,0.0429,0.0423,0.0208,0.4642
2715,1.0,3.0,39.0,0.2564,0.2308,0.3333,0.0,0.0,0.0,0.1026,0.0,0.0769,0.0256
2716,3.0,2.0,2265.0,0.7152,0.0547,0.1245,0.0402,0.0004,0.0004,0.0252,0.0,0.0393,0.3651
2717,1.0,3.0,92.0,0.837,0.0652,0.0,0.0,0.0,0.0,0.0109,0.0,0.087,0.0109
2718,3.0,2.0,2025.0,0.6286,0.1067,0.1378,0.0217,0.0035,0.0005,0.0281,0.0464,0.0267,0.3402
2719,1.0,3.0,137.0,0.2774,0.3942,0.146,0.0292,0.0,0.0,0.0876,0.0,0.0657,0.0146
2720,1.0,2.0,6283.0,0.519,0.0471,0.0081,0.0317,0.0033,0.0011,0.0148,0.0,0.3748,0.7017
2721,1.0,3.0,378.0,0.5688,0.1032,0.2884,0.0159,0.0,0.0,0.0026,0.0,0.0212,0.9286
2722,3.0,2.0,395.0,0.8,0.0658,0.0582,0.0101,0.0101,0.0,0.0228,0.0329,0.0,0.5089
2723,2.0,1.0,1233.0,0.7916,0.0852,0.0284,0.0081,0.0024,0.0008,0.0503,0.0008,0.0324,0.4071
2724,3.0,2.0,1703.0,0.606,0.1227,0.101,0.057,0.0059,0.0006,0.0452,0.0117,0.0499,0.3347
2725,4.0,2.0,25.0,0.0,0.92,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.6
2726,3.0,1.0,6719.0,0.7715,0.0594,0.0755,0.0143,0.0039,0.001,0.0231,0.003,0.0484,0.3905
2727,3.0,2.0,1422.0,0.507,0.0541,0.097,0.1174,0.0,0.0,0.0499,0.154,0.0204,0.0
2728,3.0,2.0,3714.0,0.755,0.0404,0.07,0.0482,0.0003,0.0005,0.0355,0.0493,0.0008,0.4723
2729,2.0,1.0,5513.0,0.7009,0.0671,0.1023,0.0515,0.0029,0.0015,0.0305,0.0018,0.0415,0.4127
2730,1.0,3.0,113.0,0.6903,0.1681,0.115,0.0177,0.0,0.0,0.0,0.0,0.0088,0.0088
2731,1.0,3.0,26.0,0.8077,0.1154,0.0385,0.0,0.0,0.0,0.0385,0.0,0.0,0.0
2732,2.0,1.0,1998.0,0.8914,0.019,0.03,0.011,0.0015,0.0,0.0255,0.002,0.0195,0.3749
2733,3.0,2.0,1292.0,0.5681,0.2074,0.1215,0.0294,0.0,0.0008,0.0302,0.007,0.0356,0.4033
2734,3.0,1.0,4314.0,0.764,0.1108,0.0447,0.0121,0.0012,0.0014,0.0378,0.0095,0.0185,0.4369
2735,3.0,2.0,1244.0,0.7114,0.1688,0.0281,0.0418,0.0088,0.0,0.0217,0.0032,0.0161,0.1535
2736,3.0,2.0,6880.0,0.2334,0.0392,0.098,0.3371,0.0,0.0004,0.0496,0.1801,0.0622,0.5016
2737,3.0,2.0,1041.0,0.5773,0.0778,0.1489,0.0413,0.0,0.0,0.0288,0.0461,0.0797,0.0624
2738,3.0,3.0,858.0,0.5804,0.1632,0.1096,0.0291,0.0058,0.0047,0.0455,0.0,0.0618,0.3217
2739,3.0,2.0,1192.0,0.7768,0.052,0.0503,0.0352,0.0008,0.0,0.0092,0.026,0.0495,0.2827
2740,3.0,2.0,1011.0,0.361,0.3126,0.1306,0.0188,0.003,0.0,0.0287,0.0168,0.1286,0.4214
2741,3.0,1.0,629.0,0.0032,0.8283,0.0843,0.0127,0.0016,0.0,0.0541,0.0,0.0159,0.3641
2742,1.0,2.0,105.0,0.8857,0.0476,0.0,0.019,0.019,0.0,0.0286,0.0,0.0,0.1238
2743,3.0,1.0,3071.0,0.8095,0.0804,0.0319,0.0114,0.0016,0.0,0.0176,0.0049,0.0427,0.3077
2744,1.0,3.0,150.0,0.86,0.0267,0.0067,0.0133,0.0,0.0,0.0533,0.0,0.04,0.1533
2745,3.0,2.0,109.0,0.3303,0.0275,0.0367,0.156,0.0,0.0,0.0,0.4495,0.0,0.5413
2746,2.0,1.0,8706.0,0.4835,0.2947,0.0771,0.0565,0.0028,0.0018,0.0389,0.0072,0.0374,0.3735
2747,3.0,2.0,1644.0,0.6886,0.0912,0.087,0.014,0.0049,0.0012,0.0249,0.0,0.0882,0.4069
2748,3.0,2.0,2138.0,0.6483,0.0538,0.0856,0.0444,0.0009,0.0,0.043,0.1146,0.0094,0.4224
2749,1.0,3.0,206.0,0.8204,0.034,0.0583,0.0146,0.0097,0.0049,0.0583,0.0,0.0,0.2233
2750,3.0,2.0,14308.0,0.4761,0.076,0.0749,0.2246,0.0004,0.0003,0.0388,0.0887,0.0202,0.5122
2751,3.0,2.0,5071.0,0.8109,0.0501,0.044,0.0347,0.0004,0.0004,0.0343,0.0191,0.0061,0.3642
2752,3.0,1.0,4275.0,0.5427,0.1937,0.164,0.0187,0.0014,0.0026,0.0377,0.0063,0.033,0.4349
2753,3.0,2.0,1665.0,0.4468,0.2162,0.1532,0.0222,0.0012,0.0012,0.0312,0.0529,0.0751,0.3291
2754,3.0,1.0,2779.0,0.8107,0.0605,0.0399,0.0079,0.0032,0.0011,0.0018,0.014,0.0608,0.3976
2755,3.0,2.0,1667.0,0.832,0.0246,0.0642,0.021,0.0006,0.0,0.0204,0.0156,0.0216,0.4067
2756,1.0,3.0,37.0,0.4595,0.0,0.4324,0.0,0.0,0.0,0.0541,0.0,0.0541,0.1351
2757,1.0,3.0,73.0,0.3288,0.1507,0.2192,0.0,0.0,0.0137,0.0274,0.0,0.2603,0.0137
2758,1.0,3.0,60.0,0.3667,0.2667,0.3167,0.0167,0.0,0.0,0.0333,0.0,0.0,0.0333
2759,1.0,3.0,57.0,0.6842,0.0526,0.0351,0.0,0.0,0.0,0.0175,0.0,0.2105,0.0175
2760,1.0,3.0,60.0,0.8167,0.0333,0.1333,0.0,0.0,0.0,0.0,0.0,0.0167,0.0167
2761,1.0,3.0,79.0,0.1392,0.1646,0.2785,0.0,0.0,0.0,0.0886,0.0,0.3291,0.038
2762,1.0,3.0,80.0,0.075,0.775,0.0875,0.0125,0.0,0.0,0.025,0.0,0.025,0.025
2763,1.0,3.0,108.0,0.7685,0.0463,0.1111,0.0,0.0,0.0,0.0463,0.0,0.0278,0.037
2764,1.0,3.0,122.0,0.1885,0.2869,0.1803,0.0328,0.0,0.0,0.0082,0.0,0.3033,0.0164
2765,1.0,3.0,68.0,0.2794,0.1765,0.3971,0.0,0.0,0.0,0.0882,0.0,0.0588,0.0147
2766,1.0,3.0,227.0,0.8546,0.0573,0.0485,0.0396,0.0,0.0,0.0,0.0,0.0,0.9251
2767,4.0,2.0,,,,,,,,,,,
2768,3.0,2.0,2137.0,0.5606,0.0627,0.102,0.0445,0.0014,0.0,0.0309,0.183,0.015,0.4422
2769,3.0,2.0,2681.0,0.6949,0.0597,0.0448,0.0224,0.0015,0.0007,0.0403,0.1037,0.0321,0.4036
2770,3.0,2.0,1072.0,0.7929,0.0774,0.0326,0.0093,0.0009,0.0009,0.0261,0.0252,0.0345,0.5149
2771,3.0,2.0,2399.0,0.7078,0.0509,0.1125,0.0367,0.0038,0.0004,0.0138,0.0488,0.0254,0.4894
2772,1.0,3.0,86.0,0.1977,0.314,0.2674,0.0,0.0,0.0,0.0581,0.0,0.1628,0.0465
2773,3.0,2.0,84.0,0.9643,0.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0238,0.0238
2774,3.0,2.0,2173.0,0.9103,0.0064,0.0092,0.0235,0.0009,0.0005,0.0368,0.0101,0.0023,0.5168
2775,3.0,2.0,1484.0,0.6213,0.1718,0.0566,0.062,0.0027,0.0027,0.0216,0.0013,0.06,0.2264
2776,2.0,2.0,990.0,0.3121,0.4485,0.1131,0.0172,0.003,0.0061,0.0404,0.0333,0.0263,0.1768
2777,2.0,1.0,11295.0,0.6166,0.1111,0.1372,0.0481,0.0028,0.0011,0.04,0.0182,0.0248,0.3185
2778,3.0,2.0,1420.0,0.5218,0.0556,0.1246,0.1106,0.0007,0.0,0.0697,0.1056,0.0113,0.4627
2779,1.0,2.0,89.0,0.6966,0.0674,0.0337,0.0112,0.0,0.0,0.0337,0.0,0.1573,0.7753
2780,3.0,2.0,2141.0,0.624,0.1495,0.0841,0.0757,0.0023,0.0042,0.0047,0.0023,0.0532,0.2452
